id,name,description,url,platform,created_at,updated_at
2844,nix-config,Vibe-coded application: nix-config,https://github.com/bowmanjd/nix-config,GitHub,2025-09-18T10:56:43.761461,2025-09-18T10:56:43.761463
2843,filesystem,[read-only] Abstract Filesystem that can be used with various services,https://github.com/SonsOfPHP/filesystem,GitHub,2025-09-18T10:56:43.760294,2025-09-18T10:56:43.760295
2842,asleep-sdk-react-native,Vibe-coded application: asleep-sdk-react-native,https://github.com/asleep-ai/asleep-sdk-react-native,GitHub,2025-09-18T10:56:43.760104,2025-09-18T10:56:43.760105
2841,BbmETbY,nothing to do,https://github.com/WnSEfuB/BbmETbY,GitHub,2025-09-18T10:56:43.759926,2025-09-18T10:56:43.759927
2840,openuem-docs,Docusaurus site that contains OpenUEM docs,https://github.com/open-uem/openuem-docs,GitHub,2025-09-18T10:56:43.759824,2025-09-18T10:56:43.759825
2839,Program_Youtube_Downloader,Vibe-coded application: Program_Youtube_Downloader,https://github.com/Fr3doo/Program_Youtube_Downloader,GitHub,2025-09-18T10:56:43.759718,2025-09-18T10:56:43.759719
2838,cms0,A simplified implementation of the Content Repository for Java Technology API Version 2.0 (JSR 283) and more.,https://github.com/mintjamsinc/cms0,GitHub,2025-09-18T10:56:43.759614,2025-09-18T10:56:43.759615
2837,yoga-by-delphine,Yoga by Delphine website,https://github.com/nicolaserny/yoga-by-delphine,GitHub,2025-09-18T10:56:43.759516,2025-09-18T10:56:43.759517
2836,metaist.com,Vibe-coded application: metaist.com,https://github.com/metaist/metaist.com,GitHub,2025-09-18T10:56:43.759426,2025-09-18T10:56:43.759427
2835,awesome-code-docs,Technical tutorials that teach how complex systems actually work through production code examples,https://github.com/johnxie/awesome-code-docs,GitHub,2025-09-18T10:56:43.759331,2025-09-18T10:56:43.759332
2834,sre-assistant,使用 Google ADK 專為 SRE 團隊打造智能監控、診斷、修復的 Multi-Agents 生態系統。,https://github.com/detectviz/sre-assistant,GitHub,2025-09-18T10:56:43.759237,2025-09-18T10:56:43.759238
2833,zero-effect-better-t,"WIP: Effect, Zero Sync, Alchemy, Tanstack Start, Drizzle Template",https://github.com/austinm911/zero-effect-better-t,GitHub,2025-09-18T10:56:43.759144,2025-09-18T10:56:43.759145
2832,knowledge,"Data: Ecosystem news, GitHub updates, discussion summaries, and other useful bits for knowledge / RAG systems",https://github.com/elizaOS/knowledge,GitHub,2025-09-18T10:56:43.759054,2025-09-18T10:56:43.759054
2831,dmi,Vibe-coded application: dmi,https://github.com/nominal-systems/dmi,GitHub,2025-09-18T10:56:43.758960,2025-09-18T10:56:43.758960
2830,llamaindex-llms.txt,Vibe-coded application: llamaindex-llms.txt,https://github.com/nmhjklnm/llamaindex-llms.txt,GitHub,2025-09-18T10:56:43.758821,2025-09-18T10:56:43.758822
2829,code-lab-assist,"A powerful academic programming tool that generates structured lab problems and solutions across multiple programming languages. It is designed to streamline lessons for instructors and tutors, and it also supports heuristic POML generation. (I use this app in my own work as a teacher)",https://github.com/jesse318s/code-lab-assist,GitHub,2025-09-18T10:56:43.758724,2025-09-18T10:56:43.758724
2828,ash-ai-demo,A demonstration of Ash AI's ability to build chat interactions with tool-using agents,https://github.com/ChristianAlexander/ash-ai-demo,GitHub,2025-09-18T10:56:43.758632,2025-09-18T10:56:43.758633
2827,mbtsmith,Generate MiniMoonBit Program randomly.,https://github.com/moonbitlang/mbtsmith,GitHub,2025-09-18T10:56:43.758539,2025-09-18T10:56:43.758540
2826,tstwo,Stwo but in TypeScript.,https://github.com/teddyjfpender/tstwo,GitHub,2025-09-18T10:56:43.758442,2025-09-18T10:56:43.758443
2825,tyumi,An open source AI chatbot web app,https://github.com/h1ddenpr0cess20/tyumi,GitHub,2025-09-18T10:56:43.758352,2025-09-18T10:56:43.758353
2824,aikw.hp,AIナレッジワークス合同会社 HP,https://github.com/aiknowledgeworks/aikw.hp,GitHub,2025-09-18T10:56:43.758258,2025-09-18T10:56:43.758258
2823,money,[read-only] Use when dealing with Money in PHP,https://github.com/SonsOfPHP/money,GitHub,2025-09-18T10:56:43.758166,2025-09-18T10:56:43.758166
2822,gitsweeper,A CLI tool for cleaning up git repos,https://github.com/petems/gitsweeper,GitHub,2025-09-18T10:56:43.758062,2025-09-18T10:56:43.758062
2821,fugue,"A type-safe, monadic probabilistic programming library for Rust",https://github.com/alexnodeland/fugue,GitHub,2025-09-18T10:56:43.757952,2025-09-18T10:56:43.757953
2820,reacheraven,"Reacheraven arms you with real‑time alerts, robust analytics, and streamlined incident resolution - helping you keep uptime high and stress low.",https://github.com/reacheraven/reacheraven,GitHub,2025-09-18T10:56:43.757845,2025-09-18T10:56:43.757846
2819,tmux-nowplaying,Cross-platform tmux plugin to display currently playing media (macOS & Linux),https://github.com/barlevalon/tmux-nowplaying,GitHub,2025-09-18T10:56:43.757738,2025-09-18T10:56:43.757739
2818,riet-test,Vibe-coded application: riet-test,https://github.com/RG-Soft/riet-test,GitHub,2025-09-18T10:56:43.757629,2025-09-18T10:56:43.757630
2817,deeplearningai,Vibe-coded application: deeplearningai,https://github.com/rajdeepd/deeplearningai,GitHub,2025-09-18T10:56:43.757483,2025-09-18T10:56:43.757484
2816,inspect_agents,"Inspect-AI-native agents with typed state, safe tools, and rich traces.    High-level agent orchestration built on Inspect-AI. Features typed state management (todos/files), sandboxed filesystem, optional standard tools (web search, exec, browser), and production-ready safety   defaults. Get working agents in seconds with built-in observability.",https://github.com/cnm13ryan/inspect_agents,GitHub,2025-09-18T10:56:43.757372,2025-09-18T10:56:43.757373
2815,op-observe,Vibe-coded application: op-observe,https://github.com/g4mm4p4nd4/op-observe,GitHub,2025-09-18T10:56:43.757259,2025-09-18T10:56:43.757260
2814,press-release-archive,Archive of All Press Releases via Newsramp.com,https://github.com/Newsworthyai/press-release-archive,GitHub,2025-09-18T10:56:43.756950,2025-09-18T10:56:43.756951
2813,NeoPilot,Vibe-coded application: NeoPilot,https://github.com/khulnasoft-bot/NeoPilot,GitHub,2025-09-18T10:56:43.756846,2025-09-18T10:56:43.756847
2812,wordpress-plugin-boilerplate,WordPress Plugin Boilerplate with opinionated setup. ,https://github.com/JUVOJustin/wordpress-plugin-boilerplate,GitHub,2025-09-18T10:56:43.756740,2025-09-18T10:56:43.756741
2811,srrd-builder,AI driven scientific research requirement document building project,https://github.com/markomanninen/srrd-builder,GitHub,2025-09-18T10:56:43.756632,2025-09-18T10:56:43.756632
2810,beszel-homeassistant-integration,Beszel Integration for Home Assistant,https://github.com/maxexcloo/beszel-homeassistant-integration,GitHub,2025-09-18T10:56:43.756457,2025-09-18T10:56:43.756457
2809,GitHubPageMaker,Repo for jekyll source folder,https://github.com/heuristicwave/GitHubPageMaker,GitHub,2025-09-18T10:56:43.756348,2025-09-18T10:56:43.756349
2808,tailwindcss-iso,A plugin for generating tailwind css and extracting classes from content strings uniformly on the server and client.,https://github.com/Semantic-Org/tailwindcss-iso,GitHub,2025-09-18T10:56:43.756245,2025-09-18T10:56:43.756246
2807,journey-optimizer-learn.it-IT,Vibe-coded application: journey-optimizer-learn.it-IT,https://github.com/AdobeDocs/journey-optimizer-learn.it-IT,GitHub,2025-09-18T10:56:43.756138,2025-09-18T10:56:43.756139
2806,gh_COPILOT,Vibe-coded application: gh_COPILOT,https://github.com/Aries-Serpent/gh_COPILOT,GitHub,2025-09-18T10:56:43.756015,2025-09-18T10:56:43.756016
2805,PersonalPolitico,"Comprehensive framework for prosopographic study of political personnel. Features AI agents for data extraction, network analysis, and collaborative research tools for historians and social scientists.",https://github.com/camilokawerin/PersonalPolitico,GitHub,2025-09-18T10:56:43.755909,2025-09-18T10:56:43.755910
2804,gracefullight.github.io,My Blog 🧠,https://github.com/gracefullight/gracefullight.github.io,GitHub,2025-09-18T10:56:43.755805,2025-09-18T10:56:43.755806
2803,Harrizone,Vibe-coded application: Harrizone,https://github.com/harrisonhxy/Harrizone,GitHub,2025-09-18T10:56:43.755701,2025-09-18T10:56:43.755702
2802,malihehizadi.github.io,Personal and research lab page.,https://github.com/MalihehIzadi/malihehizadi.github.io,GitHub,2025-09-18T10:56:43.755488,2025-09-18T10:56:43.755489
2801,servicestack.net,servicestack.net website,https://github.com/ServiceStack/servicestack.net,GitHub,2025-09-18T10:56:43.755382,2025-09-18T10:56:43.755383
2800,g43-iteta,Vibe-coded application: g43-iteta,https://github.com/Checha-hub-DAO/g43-iteta,GitHub,2025-09-18T10:56:43.755264,2025-09-18T10:56:43.755265
2799,datagol-knowlegde-base-v1,Vibe-coded application: datagol-knowlegde-base-v1,https://github.com/mahesh-ict-dev/datagol-knowlegde-base-v1,GitHub,2025-09-18T10:56:43.755158,2025-09-18T10:56:43.755159
2798,py-polkadot-metadata-docs,PyPolkadot Metadata docs,https://github.com/JAMdotTech/py-polkadot-metadata-docs,GitHub,2025-09-18T10:56:43.755041,2025-09-18T10:56:43.755041
2797,ihub-apps,"iHub is a secure, open-source AI application suite that empowers organizations to perform creative and general tasks with generative AI - directly within their protected corporate environment, in the cloud or on their local machine.",https://github.com/intrafind/ihub-apps,GitHub,2025-09-18T10:56:43.754922,2025-09-18T10:56:43.754923
2796,glimpser,a simple tool for real-time monitoring video and summarization with LLMs,https://github.com/KristopherKubicki/glimpser,GitHub,2025-09-18T10:56:43.754816,2025-09-18T10:56:43.754817
2795,obsidian-oneirometrics,OneiroMetrics (Turning Dreams Into Data). A plugin for Obsidian to track and analyze dream journal metrics.,https://github.com/banisterious/obsidian-oneirometrics,GitHub,2025-09-18T10:56:43.754695,2025-09-18T10:56:43.754696
2794,cplorg2020,Vibe-coded application: cplorg2020,https://github.com/CPL-UW/cplorg2020,GitHub,2025-09-18T10:56:43.754484,2025-09-18T10:56:43.754485
2793,team-status,Vibe-coded application: team-status,https://github.com/AndreiTelteu/team-status,GitHub,2025-09-18T10:56:43.754354,2025-09-18T10:56:43.754355
2792,dse-tidbits,Titbits working with DataStax suite of products & Apache Cassandra(TM),https://github.com/msmygit/dse-tidbits,GitHub,2025-09-18T10:56:43.754237,2025-09-18T10:56:43.754238
2791,tf-agents-notes,Vibe-coded application: tf-agents-notes,https://github.com/andySigler/tf-agents-notes,GitHub,2025-09-18T10:56:43.754132,2025-09-18T10:56:43.754133
2790,web3insight,"A comprehensive metric system for evaluating Web3 Ecosystems, Communities and Repos.",https://github.com/web3insight-ai/web3insight,GitHub,2025-09-18T10:56:43.754026,2025-09-18T10:56:43.754027
2789,BSU-Cybersecurity.github.io,Vibe-coded application: BSU-Cybersecurity.github.io,https://github.com/BSU-Cybersecurity/BSU-Cybersecurity.github.io,GitHub,2025-09-18T10:56:43.753921,2025-09-18T10:56:43.753922
2788,scotland,Vibe-coded application: scotland,https://github.com/lokal-ninja/scotland,GitHub,2025-09-18T10:56:43.753798,2025-09-18T10:56:43.753799
2787,horseman-article-parser,"A web page article parser which returns an object containing the article's formatted text and other attributes including sentiment, keyphrases, people, places, organisations, spelling suggestions, in-article links, meta data & lighthouse audit results.",https://github.com/fmacpro/horseman-article-parser,GitHub,2025-09-18T10:56:43.753679,2025-09-18T10:56:43.753679
2786,fcc,Vibe-coded application: fcc,https://github.com/navgurukul/fcc,GitHub,2025-09-18T10:56:43.753570,2025-09-18T10:56:43.753570
2785,llm-zoomcamp,Homework and Assignments of LLM Zoomcamp by DataTalksClub,https://github.com/mikitatryzno/llm-zoomcamp,GitHub,2025-09-18T10:56:43.753379,2025-09-18T10:56:43.753380
2784,claude-one-button-game-creation,How to create a one-button action game using the AI chatbot Claude,https://github.com/abagames/claude-one-button-game-creation,GitHub,2025-09-18T10:56:43.753276,2025-09-18T10:56:43.753277
